Data info
File name: C:\DEWESoft7\Data\Test_kastor_choco_2.d7d
Start time: 20/01/1980 07:28:21.614
Number of channels: 3
Sample rate: 5000
Store type: Toujours rapide


Data1

Time [s]	AI 0 [V]	AI 1 [V]	AI 2 [V]	
0,045	0,92699027	1,5818567	1,6230631
0,0452	0,92647409	1,5819879	1,6229284
0,0454	0,9257195	1,5819473	1,6230524
0,0456	0,92535949	1,5820296	1,6235638
0,0458	0,92559195	1,5818079	1,6240299
0,046	0,92543817	1,5812356	1,6241658
0,0462	0,9255681	1,5807898	1,6241288
0,0464	0,9256146	1,5807278	1,6239154
0,0466	0,9256289	1,580853	1,6237628
0,0468	0,9257195	1,5811653	1,6235304
0,047	0,92558718	1,5814347	1,6232979
0,0472	0,92557883	1,5816302	1,6232049
0,0474	0,92569089	1,5814693	1,6230953
0,0476	0,92555618	1,5816064	1,622895
0,0478	0,92561102	1,5814919	1,6229045
0,048	0,92577314	1,5813286	1,6227591
0,0482	0,92544174	1,5810354	1,622678
0,0484	0,92474794	1,5811927	1,6225314
0,0486	0,92406845	1,5815802	1,6225982
0,0488	0,92354631	1,5818126	1,6226196
0,049	0,92308259	1,5821083	1,6228199
0,0492	0,92276788	1,5824492	1,6229761
0,0494	0,92233753	1,582839	1,62328
0,0496	0,92198944	1,583087	1,6234636
0,0498	0,92213488	1,5834351	1,6236651
0,05	0,92232919	1,5838809	1,6238236
0,0502	0,92284536	1,5843458	1,6237545
0,0504	0,92323756	1,5850408	1,6233695
0,0506	0,92341518	1,5857	1,6229057
0,0508	0,92399693	1,586457	1,6226411
0,051	0,92489934	1,5867193	1,6223478
0,0512	0,92571712	1,5866632	1,622076
0,0514	0,92626429	1,586978	1,6217363
0,0516	0,92671013	1,5870805	1,6214192
0,0518	0,92714167	1,5872581	1,6215563
0,052	0,92752433	1,5873904	1,6219306
0,0522	0,92791176	1,5871496	1,6222095
0,0524	0,92825985	1,5866501	1,6224754
0,0526	0,92866874	1,5859408	1,6226864
0,0528	0,92899299	1,585278	1,6227758
0,053	0,92934465	1,5846379	1,6228771
0,0532	0,92971659	1,583919	1,6229177
0,0534	0,9295032	1,5834816	1,6229463
0,0536	0,92915273	1,58341	1,622647
0,0538	0,92896914	1,5834661	1,6225052
0,054	0,92879152	1,5833635	1,6223156
0,0542	0,92887616	1,5832169	1,6221178
0,0544	0,92855906	1,5830357	1,6219604
0,0546	0,92774606	1,5831001	1,6218781
0,0548	0,92695451	1,5829296	1,6219819
0,055	0,92627978	1,5830452	1,6224957
0,0552	0,925493	1,5831513	1,6229403
0,0554	0,92509842	1,5833039	1,6232121
0,0556	0,92443562	1,5836091	1,623615
0,0558	0,92399931	1,5837557	1,6241539
0,056	0,92426872	1,5836079	1,6244006
0,0562	0,92457151	1,5833755	1,6246998
0,0564	0,9248457	1,5829606	1,6250384
0,0566	0,9251008	1,5825517	1,6252434
0,0568	0,92509842	1,5821118	1,6255927
0,057	0,92519975	1,5815492	1,6260779
0,0572	0,92524862	1,5813048	1,6264081
0,0574	0,92536187	1,5809019	1,6264987
0,0576	0,92543817	1,5804703	1,6263258
0,0578	0,9254024	1,5801473	1,6261899
0,058	0,92529154	1,5799696	1,6258144
0,0582	0,92543817	1,5798552	1,6256034
0,0584	0,92533207	1,57973	1,6254079
0,0586	0,92455006	1,5797336	1,6252387
0,0588	0,923774	1,580369	1,625303
0,059	0,9234271	1,5808101	1,625334
0,0592	0,92343903	1,5812714	1,6252899
0,0594	0,92371559	1,5817208	1,6252911
0,0596	0,92413878	1,5820308	1,6250765
0,0598	0,92448092	1,5824194	1,6244113
0,06	0,9247849	1,5828271	1,6238153
0,0602	0,92506266	1,583317	1,6233075
0,0604	0,92528796	1,5838284	1,6230154
0,0606	0,92554903	1,5842445	1,6226494
0,0608	0,92549419	1,584682	1,6222918
0,061	0,92569208	1,5852196	1,6219211
0,0612	0,92628217	1,5853126	1,621604
0,0614	0,92693543	1,5851684	1,6215169
0,0616	0,92746115	1,5849621	1,6211557
0,0618	0,92789149	1,5849669	1,6209018
0,062	0,92826581	1,5849609	1,6206944
0,0622	0,92849588	1,5850837	1,6203415
0,0624	0,928931	1,5852852	1,620127
0,0626	0,92920756	1,585346	1,6197777
0,0628	0,9295032	1,5856178	1,6192949
0,063	0,9297595	1,585731	1,6188633
0,0632	0,93023872	1,5857525	1,6188598
0,0634	0,93078351	1,5857346	1,6190577
0,0636	0,93094563	1,5855081	1,6192544
0,0638	0,93040681	1,5852888	1,619395
0,064	0,92951155	1,5852494	1,6197193
0,0642	0,92850661	1,5851707	1,6202211
0,0644	0,92767692	1,5852077	1,62099
0,0646	0,9269402	1,5852149	1,6216743
0,0648	0,92644429	1,5851994	1,6222596
0,065	0,92570996	1,5851111	1,6226447
0,0652	0,9252522	1,585253	1,6231561
0,0654	0,92497563	1,5854437	1,6235578
0,0656	0,9245441	1,5855379	1,6239882
0,0658	0,92417455	1,5857191	1,6243601
0,066	0,92380977	1,5860291	1,6247582
0,0662	0,9238801	1,5861971	1,6250372
0,0664	0,92426157	1,5860207	1,6254187
0,0666	0,92455721	1,5855546	1,6255891
0,0668	0,92480159	1,5852661	1,6259313
0,067	0,92494702	1,5848632	1,6262496
0,0672	0,92493272	1,5845056	1,6264427
0,0674	0,92489934	1,5840907	1,6267407
0,0676	0,92494822	1,5836389	1,6270888
0,0678	0,92500663	1,5831752	1,6274261
0,068	0,92470741	1,5827556	1,6277635
0,0682	0,92446303	1,5822155	1,6281819
0,0684	0,92469788	1,5815885	1,6285121
0,0686	0,92519975	1,5806849	1,6287804
0,0688	0,92541432	1,5798981	1,6286314
0,069	0,92551684	1,5799625	1,6280437
0,0692	0,9256587	1,5801997	1,6271675
0,0694	0,92584109	1,5805585	1,6265655
0,0696	0,92604971	1,581182	1,6257274
0,0698	0,92604971	1,5818007	1,6251457
